	Well	Fluor	Target	Content	Sample	Biological Set Name	Cq	Cq Mean	Cq Std. Dev	Starting Quantity (SQ)	Log Starting Quantity	SQ Mean	SQ Std. Dev	Set Point	Well Note
	A01	SYBR	Actb	Unkn	BT0306_OGM		17,0415256548431	17,0415256548431	0	NaN	NaN	NaN	0	60	
	A02	SYBR	Actb	Unkn	BT0306_OGM		17,1062615122182	17,1062615122182	0	NaN	NaN	NaN	0	60	
	A03	SYBR	Actb	Unkn	BT0306_OGM+R		17,1924502804855	17,1924502804855	0	NaN	NaN	NaN	0	60	
	A04	SYBR	Actb	Unkn	BT0306_OGM+R		17,1139403815417	17,1139403815417	0	NaN	NaN	NaN	0	60	
	A05	SYBR	Actb	Unkn	BT0306_OGM-RT		35,8381271642263	35,8381271642263	0	NaN	NaN	NaN	0	60	
	A06	SYBR	Actb	Unkn	BT0306_OGM-RT		36,5236255871529	36,5236255871529	0	NaN	NaN	NaN	0	60	
	A07	SYBR	Actb	Unkn	BT0306_OGM+R-RT		NaN	0	0	NaN	NaN	0	0	60	
	A08	SYBR	Actb	Unkn	BT0306_OGM+R-RT		35,6337525845782	35,6337525845782	0	NaN	NaN	NaN	0	60	
	A09	SYBR		Unkn			NaN	0	0	NaN	NaN	0	0	60	
	A10	SYBR		Unkn			NaN	0	0	NaN	NaN	0	0	60	
	A11	SYBR		Unkn			NaN	0	0	NaN	NaN	0	0	60	
	A12	SYBR		Unkn			NaN	0	0	NaN	NaN	0	0	60	
	A13	SYBR		Unkn			NaN	0	0	NaN	NaN	0	0	60	
	A14	SYBR		Unkn			NaN	0	0	NaN	NaN	0	0	60	
	A15	SYBR		Unkn			NaN	0	0	NaN	NaN	0	0	60	
	A16	SYBR		Unkn			NaN	0	0	NaN	NaN	0	0	60	
	A17	SYBR		Unkn			NaN	0	0	NaN	NaN	0	0	60	
	A18	SYBR		Unkn			NaN	0	0	NaN	NaN	0	0	60	
	A19	SYBR		Unkn			NaN	0	0	NaN	NaN	0	0	60	
	A20	SYBR		Unkn			NaN	0	0	NaN	NaN	0	0	60	
	A21	SYBR		Unkn			NaN	0	0	NaN	NaN	0	0	60	
	A22	SYBR		Unkn			NaN	0	0	NaN	NaN	0	0	60	
	A23	SYBR		Unkn			NaN	0	0	NaN	NaN	0	0	60	
	A24	SYBR		Unkn			NaN	0	0	NaN	NaN	0	0	60	
	B01	SYBR	Gapdh	Unkn	BT0306_OGM		13,798875601514	13,798875601514	0	NaN	NaN	NaN	0	60	
	B02	SYBR	Gapdh	Unkn	BT0306_OGM		15,2948032731061	15,2948032731061	0	NaN	NaN	NaN	0	60	
	B03	SYBR	Gapdh	Unkn	BT0306_OGM+R		13,4575351168122	13,4575351168122	0	NaN	NaN	NaN	0	60	
	B04	SYBR	Gapdh	Unkn	BT0306_OGM+R		13,71686120802	13,71686120802	0	NaN	NaN	NaN	0	60	
	B05	SYBR	Gapdh	Unkn	BT0306_OGM-RT		28,4804095250772	28,4804095250772	0	NaN	NaN	NaN	0	60	
	B06	SYBR	Gapdh	Unkn	BT0306_OGM-RT		28,0346598539638	28,0346598539638	0	NaN	NaN	NaN	0	60	
	B07	SYBR	Gapdh	Unkn	BT0306_OGM+R-RT		28,0064144321538	28,0064144321538	0	NaN	NaN	NaN	0	60	
	B08	SYBR	Gapdh	Unkn	BT0306_OGM+R-RT		27,9928690886512	27,9928690886512	0	NaN	NaN	NaN	0	60	
	B09	SYBR		Unkn			NaN	0	0	NaN	NaN	0	0	60	
	B10	SYBR		Unkn			NaN	0	0	NaN	NaN	0	0	60	
	B11	SYBR		Unkn			NaN	0	0	NaN	NaN	0	0	60	
	B12	SYBR		Unkn			NaN	0	0	NaN	NaN	0	0	60	
	B13	SYBR		Unkn			NaN	0	0	NaN	NaN	0	0	60	
	B14	SYBR		Unkn			NaN	0	0	NaN	NaN	0	0	60	
	B15	SYBR		Unkn			NaN	0	0	NaN	NaN	0	0	60	
	B16	SYBR		Unkn			NaN	0	0	NaN	NaN	0	0	60	
	B17	SYBR		Unkn			NaN	0	0	NaN	NaN	0	0	60	
	B18	SYBR		Unkn			NaN	0	0	NaN	NaN	0	0	60	
	B19	SYBR		Unkn			NaN	0	0	NaN	NaN	0	0	60	
	B20	SYBR		Unkn			NaN	0	0	NaN	NaN	0	0	60	
	B21	SYBR		Unkn			NaN	0	0	NaN	NaN	0	0	60	
	B22	SYBR		Unkn			NaN	0	0	NaN	NaN	0	0	60	
	B23	SYBR		Unkn			NaN	0	0	NaN	NaN	0	0	60	
	B24	SYBR		Unkn			NaN	0	0	NaN	NaN	0	0	60	
	C01	SYBR	Lgr5	Unkn	BT0306_OGM		21,6396582183837	21,6396582183837	0	NaN	NaN	NaN	0	60	
	C02	SYBR	Lgr5	Unkn	BT0306_OGM		21,5243457171306	21,5243457171306	0	NaN	NaN	NaN	0	60	
	C03	SYBR	Lgr5	Unkn	BT0306_OGM+R		23,1377297718443	23,1377297718443	0	NaN	NaN	NaN	0	60	
	C04	SYBR	Lgr5	Unkn	BT0306_OGM+R		23,1178932546664	23,1178932546664	0	NaN	NaN	NaN	0	60	
	C05	SYBR	Lgr5	Unkn	BT0306_OGM-RT		NaN	0	0	NaN	NaN	0	0	60	
